n_righeA,n_colonneA,n_righeB,n_colonneB,time,flops
32,32,32,32,0.346560,189104.34
64,64,64,64,0.374656,1399385.07
128,128,128,128,0.402336,10424878.67
256,256,256,256,0.541184,62001891.22
512,512,512,512,1.369408,196022992.24
1024,1024,1024,1024,4.675072,459347697.59
2048,2048,2048,2048,22.480192,764222522.79
4096,4096,4096,4096,139.319519,986501779.62
8192,8192,8192,8192,965.119507,1139249201.77
0,0,0,0,0.186400,0.00
32,32,32,32,0.325600,201277.64
32,32,32,64,0.323648,404983.18
32,32,32,128,0.311296,842105.30
32,32,32,256,0.320864,1633988.27
32,32,32,512,0.338944,3093655.70
32,32,32,1024,0.368832,5685927.59
32,32,32,2048,0.411776,10185887.32
32,32,32,4096,0.542944,15450226.51
32,32,32,8192,0.742784,22586937.08
32,64,64,32,0.322112,406914.37
32,64,64,64,0.335616,781083.16
32,64,64,128,0.343712,1525370.07
32,64,64,256,0.347040,3021484.58
32,64,64,512,0.358624,5847773.53
32,64,64,1024,0.425248,9863195.19
32,64,64,2048,0.514816,16294381.34
32,64,64,4096,0.659136,25453345.09
32,64,64,8192,1.049728,31964881.24
32,128,128,32,0.364544,719101.12
32,128,128,64,0.344672,1521121.55
32,128,128,128,0.364128,2879690.71
32,128,128,256,0.375264,5588471.21
32,128,128,512,0.390496,10740965.73
32,128,128,1024,0.448448,18705865.47
32,128,128,2048,0.597984,28056295.07
32,128,128,4096,1.010720,33198543.13
32,128,128,8192,1.500672,44719208.97
32,256,256,32,0.348512,1504361.43
32,256,256,64,0.373120,2810291.52
32,256,256,128,0.403232,5200856.97
32,256,256,256,0.430784,9736443.61
32,256,256,512,0.481536,17420520.96
32,256,256,1024,0.625344,26828779.97
32,256,256,2048,1.003296,33444199.33
32,256,256,4096,1.524096,44031913.65
32,256,256,8192,2.569440,52236181.37
32,512,512,32,0.394432,2658445.51
32,512,512,64,0.423360,4953590.44
32,512,512,128,0.465792,9004671.61
32,512,512,256,0.535136,15675656.74
32,512,512,512,0.659584,25436057.21
32,512,512,1024,0.975104,34411132.44
32,512,512,2048,1.819520,36882729.58
32,512,512,4096,2.715936,49418591.12
32,512,512,8192,4.781888,56135872.60
32,1024,1024,32,0.519296,4038452.13
32,1024,1024,64,0.537504,7803297.96
32,1024,1024,128,0.622144,13483386.83
32,1024,1024,256,0.789504,21250324.48
32,1024,1024,512,1.147040,29253061.55
32,1024,1024,1024,1.658208,40470715.07
32,1024,1024,2048,2.771584,48426360.65
32,1024,1024,4096,4.890656,54887413.12
32,1024,1024,8192,9.087136,59080319.27
32,2048,2048,32,0.662848,6327701.11
32,2048,2048,64,0.753024,11139894.88
32,2048,2048,128,0.923648,18164079.83
32,2048,2048,256,1.254016,26757577.96
32,2048,2048,512,1.764224,38038742.25
32,2048,2048,1024,2.830624,47416302.23
32,2048,2048,2048,5.015968,53516183.57
32,2048,2048,4096,9.064416,59228406.56
32,2048,2048,8192,16.840799,63758364.60
32,4096,4096,32,0.984992,8516422.23
32,4096,4096,64,1.207936,13889159.13
32,4096,4096,128,1.539744,21792214.53
32,4096,4096,256,1.996672,33610359.06
32,4096,4096,512,3.016512,44494347.01
32,4096,4096,1024,4.782912,56123856.87
32,4096,4096,2048,9.001376,59643203.76
32,4096,4096,4096,16.762815,64054980.83
32,4096,4096,8192,32.393726,66293195.94
32,8192,8192,32,1.708320,9820885.89
32,8192,8192,64,1.951424,17194844.36
32,8192,8192,128,2.437376,27533242.05
32,8192,8192,256,3.321824,40404827.29
32,8192,8192,512,5.468608,49086615.97
32,8192,8192,1024,9.308640,57674476.54
32,8192,8192,2048,17.503679,61343778.48
32,8192,8192,4096,33.218815,64646606.38
32,8192,8192,8192,64.293411,66802604.06
64,32,32,32,0.319456,410297.49
64,32,32,64,0.331648,790428.42
64,32,32,128,0.322016,1628142.70
64,32,32,256,0.346752,3023994.20
64,32,32,512,0.359296,5836836.58
64,32,32,1024,0.382432,10967450.03
64,32,32,2048,0.449696,18653952.71
64,32,32,4096,0.558176,30057215.95
64,32,32,8192,0.841600,39869809.85
64,64,64,32,0.331680,790352.15
64,64,64,64,0.344832,1520415.72
64,64,64,128,0.344512,3043656.08
64,64,64,256,0.354368,5918006.12
64,64,64,512,0.395584,10602815.42
64,64,64,1024,0.442880,18941040.26
64,64,64,2048,0.499840,33565173.44
64,64,64,4096,0.711904,47133367.00
64,64,64,8192,1.230912,54519629.05
64,128,128,32,0.349216,1501328.63
64,128,128,64,0.354720,2956066.79
64,128,128,128,0.432256,4851643.32
64,128,128,256,0.402976,10408321.92
64,128,128,512,0.437600,19169580.10
64,128,128,1024,0.666400,25175893.78
64,128,128,2048,0.662112,50677879.45
64,128,128,4096,1.097376,61153938.74
64,128,128,8192,1.823712,73595901.46
64,256,256,32,0.383648,2733172.02
64,256,256,64,0.391808,5352499.14
64,256,256,128,0.427072,9821070.25
64,256,256,256,0.441408,19004204.37
64,256,256,512,0.527424,31809733.16
64,256,256,1024,0.644448,52066936.23
64,256,256,2048,1.119168,59963170.33
64,256,256,4096,1.734144,77397107.82
64,256,256,8192,2.979264,90101264.65
64,512,512,32,0.435008,4820950.54
64,512,512,64,0.433504,9675352.80
64,512,512,128,0.470368,17834138.46
64,512,512,256,0.574304,29213128.32
64,512,512,512,0.729312,46008336.46
64,512,512,1024,1.079712,62154409.63
64,512,512,2048,1.603040,83726999.75
64,512,512,4096,2.741600,97911968.34
64,512,512,8192,5.035456,106618128.08
64,1024,1024,32,0.511264,8203792.53
64,1024,1024,64,0.571424,14680181.25
64,1024,1024,128,0.642560,26109959.95
64,1024,1024,256,0.817632,41038549.37
64,1024,1024,512,1.124640,59671419.05
64,1024,1024,1024,1.696288,79124375.59
64,1024,1024,2048,2.735584,98127293.47
64,1024,1024,4096,5.188128,103480660.57
64,1024,1024,8192,9.428768,113879332.49
64,2048,2048,32,0.784640,10691027.54
64,2048,2048,64,0.824160,20356746.76
64,2048,2048,128,0.995936,33691354.46
64,2048,2048,256,1.273728,52686965.59
64,2048,2048,512,1.718624,78096039.81
64,2048,2048,1024,2.853280,94079603.00
64,2048,2048,2048,4.958528,108272234.72
64,2048,2048,4096,9.457344,113535239.68
64,2048,2048,8192,17.640448,121736346.76
64,4096,4096,32,1.158464,14482294.36
64,4096,4096,64,1.367168,24543021.22
64,4096,4096,128,1.621536,41385984.23
64,4096,4096,256,2.062688,65069327.35
64,4096,4096,512,2.978080,90137085.95
64,4096,4096,1024,5.342560,100489452.74
64,4096,4096,2048,9.698048,110717317.97
64,4096,4096,4096,18.328608,117165673.45
64,4096,4096,8192,35.250656,121840775.97
64,8192,8192,32,1.946784,17235826.71
64,8192,8192,64,2.212960,30325384.94
64,8192,8192,128,2.733056,49109028.37
64,8192,8192,256,3.593408,74702190.22
64,8192,8192,512,5.659936,94854591.40
64,8192,8192,1024,10.080544,106516252.87
64,8192,8192,2048,18.612513,115378492.71
64,8192,8192,4096,35.494335,121004303.22
64,8192,8192,8192,70.914978,121130046.58
128,32,32,32,0.337632,776419.30
128,32,32,64,0.379840,1380286.49
128,32,32,128,0.348960,3004860.05
128,32,32,256,0.346528,6051897.79
128,32,32,512,0.421696,9946273.92
128,32,32,1024,0.479520,17493760.68
128,32,32,2048,0.616608,27208883.69
128,32,32,4096,0.771808,43475101.03
128,32,32,8192,1.042560,64369307.47
128,64,64,32,0.337120,1555196.98
128,64,64,64,0.347008,3021763.28
128,64,64,128,0.353856,5926569.04
128,64,64,256,0.379520,11051602.05
128,64,64,512,0.390720,21469614.53
128,64,64,1024,0.467520,35885557.95
128,64,64,2048,0.582976,57557142.91
128,64,64,4096,0.886272,75720391.71
128,64,64,8192,1.513248,88695131.89
128,128,128,32,0.361600,2899822.92
128,128,128,64,0.359552,5832680.73
128,128,128,128,0.389632,10764783.55
128,128,128,256,0.419232,20009464.41
128,128,128,512,0.470976,35622231.65
128,128,128,1024,0.562528,59649352.84
128,128,128,2048,0.821696,81671159.84
128,128,128,4096,1.319104,101749166.45
128,128,128,8192,2.103648,127604743.15
128,256,256,32,0.401984,5217003.58
128,256,256,64,0.420864,9965937.07
128,256,256,128,0.438624,19124826.97
128,256,256,256,0.480032,34950203.54
128,256,256,512,0.590144,56858043.49
128,256,256,1024,0.802496,83625167.80
128,256,256,2048,1.202112,111651603.62
128,256,256,4096,1.969696,136282680.11
128,256,256,8192,3.405888,157630227.21
128,512,512,32,0.468256,8957288.38
128,512,512,64,0.491456,17068889.11
128,512,512,128,0.517568,32415482.13
128,512,512,256,0.621248,54011331.44
128,512,512,512,0.836960,80181684.41
128,512,512,1024,1.214368,110524758.21
128,512,512,2048,1.863904,144017855.05
128,512,512,4096,3.137600,171108784.23
128,512,512,8192,5.781728,185712967.27
128,1024,1024,32,0.624448,13433637.36
128,1024,1024,64,0.642656,26106058.70
128,1024,1024,128,0.733568,45741405.59
128,1024,1024,256,0.896352,74868873.52
128,1024,1024,512,1.325344,101270109.04
128,1024,1024,1024,1.864896,143941242.57
128,1024,1024,2048,3.121888,171969950.67
128,1024,1024,4096,5.729184,187416182.79
128,1024,1024,8192,10.801824,198807509.21
128,2048,2048,32,0.926912,18100117.19
128,2048,2048,64,0.978656,34286237.66
128,2048,2048,128,1.236480,54274120.19
128,2048,2048,256,1.501664,89379331.33
128,2048,2048,512,2.197504,122154704.01
128,2048,2048,1024,3.414464,157234316.28
128,2048,2048,2048,5.782144,185699597.08
128,2048,2048,4096,10.709248,200526099.54
128,2048,2048,8192,20.204767,212571976.09
128,4096,4096,32,1.486368,22574781.84
128,4096,4096,64,1.575584,42593007.86
128,4096,4096,128,1.918560,69957533.79
128,4096,4096,256,2.378528,112857802.25
128,4096,4096,512,3.702592,144998673.11
128,4096,4096,1024,6.066592,176992582.60
128,4096,4096,2048,11.062976,194114465.28
128,4096,4096,4096,20.593281,208561585.66
128,4096,4096,8192,39.893856,215319736.99
128,8192,8192,32,2.430208,27614453.12
128,8192,8192,64,2.704832,49621464.17
128,8192,8192,128,3.171904,84629121.38
128,8192,8192,256,4.123616,130194199.35
128,8192,8192,512,6.874656,156188439.49
128,8192,8192,1024,11.423712,187984753.99
128,8192,8192,2048,20.996128,204559968.35
128,8192,8192,4096,40.368546,212787814.84
128,8192,8192,8192,78.242210,219572901.87
256,32,32,32,0.337120,1555196.98
256,32,32,64,0.342688,3059856.25
256,32,32,128,0.362624,5783268.79
256,32,32,256,0.360992,11618827.65
256,32,32,512,0.408512,20534545.07
256,32,32,1024,0.454208,36937298.54
256,32,32,2048,0.642720,52206921.88
256,32,32,4096,0.985760,68078300.81
256,32,32,8192,1.518144,88409088.32
256,64,64,32,0.393312,2666015.74
256,64,64,64,0.394752,5312581.12
256,64,64,128,0.379072,11064662.87
256,64,64,256,0.415968,20166474.30
256,64,64,512,0.437344,38361599.65
256,64,64,1024,0.544352,61641056.35
256,64,64,2048,0.778176,86238669.87
256,64,64,4096,1.133088,118453049.43
256,64,64,8192,2.018784,132968881.20
256,128,128,32,0.393120,5334635.86
256,128,128,64,0.402560,10419078.01
256,128,128,128,0.413344,20294495.83
256,128,128,256,0.455136,36861984.02
256,128,128,512,0.545696,61489237.16
256,128,128,1024,0.689408,97342739.83
256,128,128,2048,1.048704,127984373.47
256,128,128,4096,1.666784,161049931.04
256,128,128,8192,2.728032,196797871.12
256,256,256,32,0.459904,9119955.76
256,256,256,64,0.462368,18142708.39
256,256,256,128,0.486624,34476753.95
256,256,256,256,0.560544,59860476.90
256,256,256,512,0.717696,93505973.23
256,256,256,1024,1.011616,132676558.22
256,256,256,2048,1.514240,177274045.93
256,256,256,4096,2.432480,220709272.28
256,256,256,8192,4.180800,256826883.37
256,512,512,32,0.547040,15334542.67
256,512,512,64,0.562848,29807722.22
256,512,512,128,0.597088,56196797.06
256,512,512,256,0.768512,87323116.72
256,512,512,512,0.969344,138462429.48
256,512,512,1024,1.477888,181634506.92
256,512,512,2048,2.310752,232336023.84
256,512,512,4096,3.977472,269955842.79
256,512,512,8192,7.349504,292194364.38
256,1024,1024,32,0.763744,21967067.60
256,1024,1024,64,0.806752,41592002.15
256,1024,1024,128,0.913472,73465704.74
256,1024,1024,256,1.233184,108838364.90
256,1024,1024,512,1.560832,171982283.77
256,1024,1024,1024,2.385632,225043470.00
256,1024,1024,2048,3.948320,271949043.63
256,1024,1024,4096,7.212864,297729677.31
256,1024,1024,8192,13.340736,321943794.61
256,2048,2048,32,1.278368,26247866.11
256,2048,2048,64,1.334912,50272127.97
256,2048,2048,128,1.467968,91430963.88
256,2048,2048,256,1.916384,140073940.59
256,2048,2048,512,2.603392,206219783.87
256,2048,2048,1024,4.185760,256522547.53
256,2048,2048,2048,7.253504,296061559.68
256,2048,2048,4096,13.338656,321993996.92
256,2048,2048,8192,25.410816,338042451.17
256,4096,4096,32,1.938752,34614464.40
256,4096,4096,64,2.086048,64340674.43
256,4096,4096,128,2.422528,110807987.71
256,4096,4096,256,3.270656,164147771.62
256,4096,4096,512,4.629536,231932916.99
256,4096,4096,1024,7.884224,272377302.43
256,4096,4096,2048,13.553664,316886063.45
256,4096,4096,4096,25.688608,334386921.05
256,4096,4096,8192,49.560799,346642299.03
256,8192,8192,32,3.352416,40036119.16
256,8192,8192,64,3.670848,73126281.40
256,8192,8192,128,4.152512,129288224.21
256,8192,8192,256,6.044352,177643825.89
256,8192,8192,512,8.609344,249436399.05
256,8192,8192,1024,14.891136,288424418.87
256,8192,8192,2048,26.594624,322995156.17
256,8192,8192,4096,49.839520,344703748.27
256,8192,8192,8192,97.785950,351377048.25
512,32,32,32,0.358848,2922061.66
512,32,32,64,0.352736,5945386.98
512,32,32,128,0.393440,10660593.52
512,32,32,256,0.417824,20076893.61
512,32,32,512,0.469472,35736351.30
512,32,32,1024,0.640448,52392127.62
512,32,32,2048,0.899680,74591924.49
512,32,32,4096,1.359584,98719704.39
512,32,32,8192,2.308864,116262994.46
512,64,64,32,0.375040,5591808.95
512,64,64,64,0.393856,10649334.06
512,64,64,128,0.400864,20926318.88
512,64,64,256,0.457024,36709703.88
512,64,64,512,0.506848,66202162.15
512,64,64,1024,0.723296,92782021.80
512,64,64,2048,1.029472,130375307.78
512,64,64,4096,1.666720,161056116.65
512,64,64,8192,2.979904,180163831.94
512,128,128,32,0.442304,9482853.74
512,128,128,64,0.432896,19377883.44
512,128,128,128,0.469088,35765605.65
512,128,128,256,0.515616,65076397.98
512,128,128,512,0.640032,104852358.47
512,128,128,1024,0.918560,146117536.03
512,128,128,2048,1.361888,197105375.73
512,128,128,4096,2.290976,234341564.85
512,128,128,8192,3.991744,268990649.91
512,256,256,32,0.525216,15971730.23
512,256,256,64,0.537824,31194622.73
512,256,256,128,0.594048,56484376.16
512,256,256,256,0.673696,99612979.51
512,256,256,512,0.850080,157888346.87
512,256,256,1024,1.308832,205095417.80
512,256,256,2048,2.011552,266893864.31
512,256,256,4096,3.369728,318643461.98
512,256,256,8192,6.038432,355635967.23
512,512,512,32,0.722240,23229420.51
512,512,512,64,0.749440,44772672.07
512,512,512,128,0.829760,80877437.80
512,512,512,256,1.007072,133275209.46
512,512,512,512,1.338272,200583633.90
512,512,512,1024,2.008736,267268043.20
512,512,512,2048,3.201856,335349827.80
512,512,512,4096,5.556896,386453798.48
512,512,512,8192,10.301152,416940474.27
512,1024,1024,32,1.191392,28164058.14
512,1024,1024,64,1.188960,56443334.07
