n_righeA,n_colonneA,n_righeB,n_colonneB,righe_blocco,colonne_blocco,n_proc,time,flops
64,256,256,128,3,3,4,0.010151,413185839.36
64,256,256,128,3,3,8,0.008583,488653382.81
64,256,256,128,4,4,1,0.009170,457390698.11
64,256,256,128,4,4,4,0.010180,412006899.66
64,256,256,128,4,4,8,0.008670,483780538.26
64,256,256,128,4,4,12,0.016994,246815616.15
64,256,256,128,4,4,16,0.010008,419113539.55
64,256,256,256,1,1,1,0.017350,483483515.05
64,256,256,256,2,2,1,0.017615,476210779.16
64,256,256,256,2,2,4,0.012892,650658988.39
64,256,256,256,3,3,1,0.017293,485084493.67
64,256,256,256,3,3,4,0.015342,546759648.44
64,256,256,256,3,3,8,0.018191,461132006.41
64,256,256,256,4,4,1,0.018076,464073233.99
64,256,256,256,4,4,4,0.015879,528293937.18
64,256,256,256,4,4,8,0.013397,626171299.54
64,256,256,256,4,4,12,0.017886,468993887.16
64,256,256,256,4,4,16,0.013483,622141808.22
128,32,32,32,1,1,1,0.000869,301593648.09
128,32,32,32,2,2,1,0.000995,263469257.14
128,32,32,32,2,2,4,0.002852,91926067.79
128,32,32,32,3,3,1,0.000951,275664519.96
128,32,32,32,3,3,4,0.002996,87504688.98
128,32,32,32,3,3,8,0.006034,43441351.16
128,32,32,32,4,4,1,0.000919,285095006.19
128,32,32,32,4,4,4,0.003106,84388469.62
128,32,32,32,4,4,8,0.005471,47919341.38
128,32,32,32,4,4,12,0.008022,32677011.87
128,32,32,32,4,4,16,0.010875,24104585.07
128,32,32,64,1,1,1,0.001450,361476475.92
128,32,32,64,2,2,1,0.001619,323776078.54
128,32,32,64,2,2,4,0.002974,176287132.89
128,32,32,64,3,3,1,0.001590,329726564.54
128,32,32,64,3,3,4,0.004289,122234819.07
128,32,32,64,3,3,8,0.006838,76675469.25
128,32,32,64,4,4,1,0.001747,300063117.96
128,32,32,64,4,4,4,0.003767,139189131.06
128,32,32,64,4,4,8,0.006968,75238534.83
128,32,32,64,4,4,12,0.010761,48721627.59
128,32,32,64,4,4,16,0.012218,42909864.00
128,32,32,128,1,1,1,0.002646,396250701.12
128,32,32,128,2,2,1,0.002904,361140956.24
128,32,32,128,2,2,4,0.004326,242365070.59
128,32,32,128,3,3,1,0.003153,332545237.44
128,32,32,128,3,3,4,0.005433,192993541.40
128,32,32,128,3,3,8,0.006954,150794077.32
128,32,32,128,4,4,1,0.002859,366765399.23
128,32,32,128,4,4,4,0.005079,206471704.14
128,32,32,128,4,4,8,0.006905,151860306.69
128,32,32,128,4,4,12,0.011379,92149785.92
128,32,32,128,4,4,16,0.013496,77693851.62
128,32,32,256,1,1,1,0.005011,418499666.80
128,32,32,256,2,2,1,0.005402,388195131.89
128,32,32,256,2,2,4,0.005627,372661987.90
128,32,32,256,3,3,1,0.005311,394850636.26
128,32,32,256,3,3,4,0.012320,170222762.46
128,32,32,256,3,3,8,0.009379,223593540.48
128,32,32,256,4,4,1,0.005321,394118089.59
128,32,32,256,4,4,4,0.008263,253797330.87
128,32,32,256,4,4,8,0.008229,254847433.73
128,32,32,256,4,4,12,0.015629,134179594.84
128,32,32,256,4,4,16,0.011839,177144837.96
128,64,64,32,1,1,1,0.001585,330747483.60
128,64,64,32,2,2,1,0.001587,330421464.76
128,64,64,32,2,2,4,0.003027,173190617.35
128,64,64,32,3,3,1,0.001641,319435175.59
128,64,64,32,3,3,4,0.003463,151398151.33
128,64,64,32,3,3,8,0.003046,172141748.68
128,64,64,32,4,4,1,0.001733,302543379.09
128,64,64,32,4,4,4,0.004088,128251616.37
128,64,64,32,4,4,8,0.002855,183609519.29
128,64,64,32,4,4,12,0.009190,57050630.95
128,64,64,32,4,4,16,0.003916,133897231.14
128,64,64,64,1,1,1,0.002589,404971159.64
128,64,64,64,2,2,1,0.002720,385473712.39
128,64,64,64,2,2,4,0.004321,242692607.09
128,64,64,64,3,3,1,0.002757,380359703.91
128,64,64,64,3,3,4,0.005099,205650523.37
128,64,64,64,3,3,8,0.005363,195509957.24
128,64,64,64,4,4,1,0.002681,391138129.66
128,64,64,64,4,4,4,0.004728,221770416.45
128,64,64,64,4,4,8,0.004588,228565609.46
128,64,64,64,4,4,12,0.010551,99377933.00
128,64,64,64,4,4,16,0.005236,200249036.41
128,64,64,128,1,1,1,0.004714,444838801.47
128,64,64,128,2,2,1,0.004931,425262621.35
128,64,64,128,2,2,4,0.005534,378956679.85
128,64,64,128,3,3,1,0.004888,429073824.82
128,64,64,128,3,3,4,0.007257,288975516.86
128,64,64,128,3,3,8,0.005582,375716670.04
128,64,64,128,4,4,1,0.004907,427393786.65
128,64,64,128,4,4,4,0.007576,276808198.10
128,64,64,128,4,4,8,0.007884,265999963.34
128,64,64,128,4,4,12,0.014114,148590466.66
128,64,64,128,4,4,16,0.007827,267936895.69
128,64,64,256,1,1,1,0.008572,489302523.01
128,64,64,256,2,2,1,0.008925,469931726.27
128,64,64,256,2,2,4,0.008122,516398441.33
128,64,64,256,3,3,1,0.008937,469334841.86
128,64,64,256,3,3,4,0.010345,405447161.58
128,64,64,256,3,3,8,0.009085,461670426.52
128,64,64,256,4,4,1,0.009189,456445800.24
128,64,64,256,4,4,4,0.009904,423497316.22
128,64,64,256,4,4,8,0.008412,498633908.10
128,64,64,256,4,4,12,0.017588,238480112.64
128,64,64,256,4,4,16,0.010090,415685053.60
128,128,128,32,1,1,1,0.002908,360567337.76
128,128,128,32,2,2,1,0.002889,362941478.89
128,128,128,32,2,2,4,0.004929,212739245.57
128,128,128,32,3,3,1,0.003057,342984380.74
128,128,128,32,3,3,4,0.005048,207719630.10
128,128,128,32,3,3,8,0.006237,168109371.41
128,128,128,32,4,4,1,0.002882,363801506.94
128,128,128,32,4,4,4,0.008860,118345611.14
128,128,128,32,4,4,8,0.004503,232867857.53
128,128,128,32,4,4,12,0.012974,80821366.45
128,128,128,32,4,4,16,0.005523,189871496.81
128,128,128,64,1,1,1,0.004799,436998514.65
128,128,128,64,2,2,1,0.005081,412760835.28
128,128,128,64,2,2,4,0.006894,304210880.34
128,128,128,64,3,3,1,0.005115,409971758.90
128,128,128,64,3,3,4,0.007234,289896002.62
128,128,128,64,3,3,8,0.005995,349793928.47
128,128,128,64,4,4,1,0.004832,434041980.85
128,128,128,64,4,4,4,0.006788,308962755.86
128,128,128,64,4,4,8,0.007250,289277310.08
128,128,128,64,4,4,12,0.012850,163196344.95
128,128,128,64,4,4,16,0.006667,314554380.38
128,128,128,128,1,1,1,0.008639,485501639.51
128,128,128,128,2,2,1,0.009065,462696468.52
128,128,128,128,2,2,4,0.007497,559438636.82
128,128,128,128,3,3,1,0.008915,470458023.60
128,128,128,128,3,3,4,0.010179,412048704.33
128,128,128,128,3,3,8,0.011974,350285851.93
128,128,128,128,4,4,1,0.008757,478952008.70
128,128,128,128,4,4,4,0.010545,397753133.32
128,128,128,128,4,4,8,0.008230,509620003.70
128,128,128,128,4,4,12,0.017057,245899336.51
128,128,128,128,4,4,16,0.009866,425121719.13
128,128,128,256,1,1,1,0.015965,525444451.00
128,128,128,256,2,2,1,0.016627,504503025.65
128,128,128,256,2,2,4,0.011505,729105187.85
128,128,128,256,3,3,1,0.016354,512925134.45
128,128,128,256,3,3,4,0.014145,593037097.53
128,128,128,256,3,3,8,0.013570,618151076.35
128,128,128,256,4,4,1,0.016434,510435170.77
128,128,128,256,4,4,4,0.014669,571842206.96
128,128,128,256,4,4,8,0.016925,495639124.52
128,128,128,256,4,4,12,0.024296,345263563.81
128,128,128,256,4,4,16,0.014212,590256162.67
128,256,256,32,1,1,1,0.005627,372726293.89
128,256,256,32,2,2,1,0.005310,394935538.61
128,256,256,32,2,2,4,0.006616,316993705.34
128,256,256,32,3,3,1,0.005402,388241849.22
128,256,256,32,3,3,4,0.007362,284880563.60
128,256,256,32,3,3,8,0.006860,305703134.74
128,256,256,32,4,4,1,0.005377,390034294.49
128,256,256,32,4,4,4,0.008378,250305552.62
128,256,256,32,4,4,8,0.006685,313696968.63
128,256,256,32,4,4,12,0.013046,160751364.83
128,256,256,32,4,4,16,0.010793,194308315.12
128,256,256,64,1,1,1,0.009074,462212192.67
128,256,256,64,2,2,1,0.009112,460295675.03
128,256,256,64,2,2,4,0.008808,476193055.02
128,256,256,64,3,3,1,0.009208,455529078.96
128,256,256,64,3,3,4,0.010318,406495775.90
128,256,256,64,3,3,8,0.009013,465352215.05
128,256,256,64,4,4,1,0.009084,461723390.94
128,256,256,64,4,4,4,0.011042,379856185.62
128,256,256,64,4,4,8,0.012101,346595506.74
128,256,256,64,4,4,12,0.014984,279910887.16
128,256,256,64,4,4,16,0.009678,433405528.53
128,256,256,128,1,1,1,0.015884,528123137.20
128,256,256,128,2,2,1,0.016232,516794696.11
128,256,256,128,2,2,4,0.010951,765978813.70
128,256,256,128,3,3,1,0.016211,517449993.37
128,256,256,128,3,3,4,0.014489,578951522.17
128,256,256,128,3,3,8,0.013336,629034510.63
128,256,256,128,4,4,1,0.016384,512004017.65
128,256,256,128,4,4,4,0.015256,549845217.43
128,256,256,128,4,4,8,0.012653,662966437.56
128,256,256,128,4,4,12,0.021794,384911070.06
128,256,256,128,4,4,16,0.016384,512007044.52
128,256,256,256,1,1,1,0.030561,548981563.58
128,256,256,256,2,2,1,0.030545,549261331.18
128,256,256,256,2,2,4,0.017233,973542353.86
128,256,256,256,3,3,1,0.030575,548724543.98
128,256,256,256,3,3,4,0.023167,724193489.63
128,256,256,256,3,3,8,0.020424,821459290.08
128,256,256,256,4,4,1,0.030570,548813879.91
128,256,256,256,4,4,4,0.024193,693486365.69
128,256,256,256,4,4,8,0.020632,813169392.31
128,256,256,256,4,4,12,0.032293,519531174.57
128,256,256,256,4,4,16,0.023859,703185543.10
256,32,32,32,1,1,1,0.001648,318203113.69
256,32,32,32,2,2,1,0.001650,317825044.16
256,32,32,32,2,2,4,0.003396,154365618.38
256,32,32,32,3,3,1,0.001753,299081453.24
256,32,32,32,3,3,4,0.004044,129638713.01
256,32,32,32,3,3,8,0.003185,164635083.63
256,32,32,32,4,4,1,0.001742,300932380.44
256,32,32,32,4,4,4,0.003610,145225894.30
256,32,32,32,4,4,8,0.003339,157010060.04
256,32,32,32,4,4,12,0.009757,53737293.62
256,32,32,32,4,4,16,0.004323,121291177.15
256,32,32,64,1,1,1,0.002924,358597855.47
256,32,32,64,2,2,1,0.003107,337442745.39
256,32,32,64,2,2,4,0.005284,198432859.11
256,32,32,64,3,3,1,0.002997,349891898.14
256,32,32,64,3,3,4,0.004708,222708694.34
256,32,32,64,3,3,8,0.005857,179022786.86
256,32,32,64,4,4,1,0.003030,346008264.48
256,32,32,64,4,4,4,0.006071,172727017.86
256,32,32,64,4,4,8,0.004357,240666047.32
256,32,32,64,4,4,12,0.013481,77780399.56
256,32,32,64,4,4,16,0.005708,183710181.84
256,32,32,128,1,1,1,0.004837,433587121.87
256,32,32,128,2,2,1,0.005314,394613020.76
256,32,32,128,2,2,4,0.006281,333891472.02
256,32,32,128,3,3,1,0.005207,402737429.62
256,32,32,128,3,3,4,0.013219,158649614.90
256,32,32,128,3,3,8,0.007039,297913252.79
256,32,32,128,4,4,1,0.005565,376851403.37
256,32,32,128,4,4,4,0.008092,259151295.40
256,32,32,128,4,4,8,0.010132,206981619.25
256,32,32,128,4,4,12,0.013951,150317745.61
256,32,32,128,4,4,16,0.012796,163889741.43
256,32,32,256,1,1,1,0.009009,465588140.28
256,32,32,256,2,2,1,0.009986,420004671.14
256,32,32,256,2,2,4,0.008632,485888153.08
256,32,32,256,3,3,1,0.010014,418823943.77
256,32,32,256,3,3,4,0.011802,355383030.46
256,32,32,256,3,3,8,0.011033,380173058.90
256,32,32,256,4,4,1,0.009984,420121036.90
256,32,32,256,4,4,4,0.012281,341525281.59
256,32,32,256,4,4,8,0.014691,285511050.14
256,32,32,256,4,4,12,0.022255,188464796.32
256,32,32,256,4,4,16,0.014567,287937205.40
256,64,64,32,1,1,1,0.002904,361021218.73
256,64,64,32,2,2,1,0.002959,354313646.86
256,64,64,32,2,2,4,0.005354,195834342.26
256,64,64,32,3,3,1,0.002979,352031810.38
256,64,64,32,3,3,4,0.007079,148122282.11
256,64,64,32,3,3,8,0.004554,230256562.94
256,64,64,32,4,4,1,0.002957,354592589.13
256,64,64,32,4,4,4,0.005279,198636082.73
256,64,64,32,4,4,8,0.005817,180273940.97
256,64,64,32,4,4,12,0.012424,84398976.90
256,64,64,32,4,4,16,0.008795,119226974.85
256,64,64,64,1,1,1,0.004816,435470865.47
256,64,64,64,2,2,1,0.005004,419115216.71
256,64,64,64,2,2,4,0.005708,367410502.00
256,64,64,64,3,3,1,0.004983,420839187.89
256,64,64,64,3,3,4,0.010324,203134962.68
256,64,64,64,3,3,8,0.008733,240133067.48
256,64,64,64,4,4,1,0.005011,418512500.68
256,64,64,64,4,4,4,0.012950,161939591.28
256,64,64,64,4,4,8,0.006510,322147970.01
256,64,64,64,4,4,12,0.013851,151402671.01
256,64,64,64,4,4,16,0.009973,210278746.24
256,64,64,128,1,1,1,0.008485,494316677.86
256,64,64,128,2,2,1,0.008947,468799828.97
256,64,64,128,2,2,4,0.008336,503141520.84
256,64,64,128,3,3,1,0.008945,468893445.05
256,64,64,128,3,3,4,0.010746,390302345.45
256,64,64,128,3,3,8,0.011385,368392215.81
256,64,64,128,4,4,1,0.008987,466728166.20
256,64,64,128,4,4,4,0.011263,372401259.61
256,64,64,128,4,4,8,0.009334,449373677.39
256,64,64,128,4,4,12,0.017333,241980831.49
256,64,64,128,4,4,16,0.011213,374053808.68
256,64,64,256,1,1,1,0.016095,521197113.28
256,64,64,256,2,2,1,0.016715,501860372.28
256,64,64,256,2,2,4,0.011061,758411896.43
256,64,64,256,3,3,1,0.016648,503893733.79
256,64,64,256,3,3,4,0.015206,551678709.15
256,64,64,256,3,3,8,0.014982,559907242.49
256,64,64,256,4,4,1,0.016801,499295295.49
256,64,64,256,4,4,4,0.015860,528924815.11
256,64,64,256,4,4,8,0.013748,610162083.61
256,64,64,256,4,4,12,0.027198,308424893.29
256,64,64,256,4,4,16,0.018583,451411616.38
256,128,128,32,1,1,1,0.005272,397823263.44
256,128,128,32,2,2,1,0.005709,367347627.51
256,128,128,32,2,2,4,0.006132,341991766.36
256,128,128,32,3,3,1,0.005444,385200916.50
256,128,128,32,3,3,4,0.011656,179914169.93
256,128,128,32,3,3,8,0.010437,200931022.75
256,128,128,32,4,4,1,0.005423,386725549.72
256,128,128,32,4,4,4,0.013792,152056179.74
256,128,128,32,4,4,8,0.007335,285909359.40
256,128,128,32,4,4,12,0.013825,151693432.77
256,128,128,32,4,4,16,0.008292,252897695.21
256,128,128,64,1,1,1,0.008858,473516580.85
256,128,128,64,2,2,1,0.009002,465940886.19
256,128,128,64,2,2,4,0.012603,332802503.64
256,128,128,64,3,3,1,0.009052,463335726.08
256,128,128,64,3,3,4,0.010576,396596647.05
256,128,128,64,3,3,8,0.010054,417159374.45
256,128,128,64,4,4,1,0.009034,464299486.94
256,128,128,64,4,4,4,0.018309,229084917.05
256,128,128,64,4,4,8,0.009121,459829179.04
256,128,128,64,4,4,12,0.019492,215183214.76
256,128,128,64,4,4,16,0.010717,391366169.88
256,128,128,128,1,1,1,0.016641,504101237.92
256,128,128,128,2,2,1,0.016498,508460699.05
256,128,128,128,2,2,4,0.011453,732446436.09
256,128,128,128,3,3,1,0.016271,515547606.52
256,128,128,128,3,3,4,0.014051,597028409.67
256,128,128,128,3,3,8,0.015467,542357127.84
256,128,128,128,4,4,1,0.016337,513468999.79
256,128,128,128,4,4,4,0.014414,581969291.85
256,128,128,128,4,4,8,0.015599,537760511.64
256,128,128,128,4,4,12,0.023510,356807385.51
256,128,128,128,4,4,16,0.014746,568858041.94
256,128,128,256,1,1,1,0.031398,534333648.11
256,128,128,256,2,2,1,0.030812,544510151.18
256,128,128,256,2,2,4,0.016026,1046865001.54
256,128,128,256,3,3,1,0.030714,546244134.90
256,128,128,256,3,3,4,0.022345,750811729.37
256,128,128,256,3,3,8,0.021770,770660157.58
256,128,128,256,4,4,1,0.030663,547147113.70
256,128,128,256,4,4,4,0.028473,589236454.55
256,128,128,256,4,4,8,0.020394,822666481.45
256,128,128,256,4,4,12,0.030248,554660893.04
256,128,128,256,4,4,16,0.023033,728396647.78
256,256,256,32,1,1,1,0.009935,422166976.57
256,256,256,32,2,2,1,0.010125,414264439.32
256,256,256,32,2,2,4,0.010008,419093180.72
256,256,256,32,3,3,1,0.010029,418213442.78
256,256,256,32,3,3,4,0.011189,374872926.21
256,256,256,32,3,3,8,0.010795,388541428.45
256,256,256,32,4,4,1,0.010080,416094689.86
256,256,256,32,4,4,4,0.012364,339247360.38
256,256,256,32,4,4,8,0.010649,393855244.40
256,256,256,32,4,4,12,0.013200,317757770.38
256,256,256,32,4,4,16,0.012487,335905804.01
256,256,256,64,1,1,1,0.016747,500896458.30
256,256,256,64,2,2,1,0.016877,497038651.87
256,256,256,64,2,2,4,0.012508,670633039.52
256,256,256,64,3,3,1,0.016922,495736619.30
256,256,256,64,3,3,4,0.016523,507706761.48
256,256,256,64,3,3,8,0.014774,567807224.84
256,256,256,64,4,4,1,0.017027,492650888.55
256,256,256,64,4,4,4,0.017073,491330113.88
256,256,256,64,4,4,8,0.016176,518593246.88
256,256,256,64,4,4,12,0.017121,489956694.96
256,256,256,64,4,4,16,0.015491,541516591.36
256,256,256,128,1,1,1,0.030193,555660863.67
256,256,256,128,2,2,1,0.030474,550537063.08
256,256,256,128,2,2,4,0.017144,978618017.53
256,256,256,128,3,3,1,0.031548,531792371.33
256,256,256,128,3,3,4,0.023034,728359363.34
256,256,256,128,3,3,8,0.020518,817669852.67
256,256,256,128,4,4,1,0.030460,550792078.89
256,256,256,128,4,4,4,0.024602,681932102.86
256,256,256,128,4,4,8,0.020501,818350344.57
256,256,256,128,4,4,12,0.023872,702800540.44
256,256,256,128,4,4,16,0.021220,790640336.45
256,256,256,256,1,1,1,0.056700,591786177.39
256,256,256,256,2,2,1,0.057730,581234050.92
256,256,256,256,2,2,4,0.026755,1254148156.74
256,256,256,256,3,3,1,0.057612,582423012.02
256,256,256,256,3,3,4,0.038474,872128416.32
256,256,256,256,3,3,8,0.034388,975772438.34
256,256,256,256,4,4,1,0.057745,581079188.29
256,256,256,256,4,4,4,0.040381,830953792.88
256,256,256,256,4,4,8,0.039138,857325944.15
256,256,256,256,4,4,12,0.054651,613981610.59
256,256,256,256,4,4,16,0.032832,1022005277.59
1024,512,512,1024,2,2,2,1.290021,832344259.54
1024,512,512,1024,3,3,2,1.321445,812550992.35
1024,512,512,1024,3,3,8,0.711461,1509206720.51
1024,512,512,1024,4,4,2,1.282240,837395414.33
1024,512,512,1024,4,4,8,0.678141,1583361423.69
1024,512,512,1024,4,4,16,0.453491,2367726048.76
1024,512,512,2048,2,2,2,2.492989,861409090.91
1024,512,512,2048,3,3,2,2.626978,817473048.10
1024,512,512,2048,3,3,8,1.379238,1557007299.16
1024,512,512,2048,4,4,2,2.487477,863318052.17
1024,512,512,2048,4,4,8,1.305626,1644792299.53
1024,512,512,2048,4,4,16,0.813141,2640974084.97
1024,1024,1024,1024,2,2,2,2.469470,869613250.76
1024,1024,1024,1024,3,3,2,2.552325,841383146.01
1024,1024,1024,1024,3,3,8,1.329030,1615827920.33
1024,1024,1024,1024,4,4,2,2.521840,851554168.24
1024,1024,1024,1024,4,4,8,1.255955,1709840611.67
1024,1024,1024,1024,4,4,16,0.681925,3149148496.96
1024,1024,1024,2048,2,2,2,4.887233,878813649.75
1024,1024,1024,2048,3,3,2,5.140912,835448505.88
1024,1024,1024,2048,3,3,8,2.619601,1639550473.26
1024,1024,1024,2048,4,4,2,4.978224,862750946.52
1024,1024,1024,2048,4,4,8,2.512462,1709465479.74
1024,1024,1024,2048,4,4,16,1.251508,3431834987.04
2048,512,512,1024,2,2,2,2.541361,845013270.62
2048,512,512,1024,3,3,2,2.628185,817097734.75
2048,512,512,1024,3,3,8,1.365699,1572443353.01
2048,512,512,1024,4,4,2,2.504774,857356138.05
2048,512,512,1024,4,4,8,1.294366,1659100172.15
2048,512,512,1024,4,4,16,0.809245,2653688106.55
2048,512,512,2048,2,2,2,4.910569,874637449.55
2048,512,512,2048,3,3,2,5.088177,844107255.64
2048,512,512,2048,3,3,8,2.662757,1612977466.85
2048,512,512,2048,4,4,2,4.923254,872383851.13
2048,512,512,2048,4,4,8,2.505008,1714552176.14
2048,512,512,2048,4,4,16,1.418234,3028391425.72
2048,1024,1024,1024,2,2,2,4.903893,875828017.39
2048,1024,1024,1024,3,3,2,5.045435,851258004.74
2048,1024,1024,1024,3,3,8,2.544115,1688197108.30
2048,1024,1024,1024,4,4,2,4.864761,882873260.52
2048,1024,1024,1024,4,4,8,2.437223,1762238158.22
2048,1024,1024,1024,4,4,16,1.218498,3524805610.11
2048,1024,1024,2048,2,2,2,9.713168,884359712.96
2048,1024,1024,2048,3,3,2,10.063752,853551880.37
2048,1024,1024,2048,3,3,8,5.080369,1690809032.39
2048,1024,1024,2048,4,4,2,9.716356,884069536.64
2048,1024,1024,2048,4,4,8,4.697923,1828453607.39
2048,1024,1024,2048,4,4,16,1.989621,4317372205.80
